,before_mean,before_std,before_min,before_max,after_mean,after_std,after_min,after_max
bmi,26.809998269524822,4.883272701206202,10.6,69.6,26.687238269524823,4.066731588548111,16.3,37.4
blood_pressure,115.37027999999998,14.442400420067205,80.0,233.2,114.91709000000002,11.718041439591001,88.997,153.6039999999999
cholesterol,175.7765649137759,32.8386347668092,41.1,445.2,174.9564049137759,27.06530206997089,109.19800000000001,244.80599999999987
glucose,94.42362784238942,22.08193587643915,32.5,337.1,93.41084784238942,14.79914610741389,60.0,131.40199999999996
